model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_mean,inc case,4,Overall,2.1,2.44,0.35,0.76,-0.04,314,32,NA
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_median,inc case,4,Overall,1.38,1.5,0.29,0.72,-0.26,314,32,NA
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_mean,inc case,4,Overall,2.06,2.4,0.33,0.76,-0.05,314,32,NA
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_median,inc case,4,Overall,1.36,1.49,0.28,0.7,-0.26,314,32,NA
EuroCOVIDhub-All_history_relative_skill_weighted_mean,inc case,4,Overall,2.04,2.37,0.35,0.76,-0.04,314,32,NA
EuroCOVIDhub-All_history_relative_skill_weighted_median,inc case,4,Overall,1.33,1.46,0.28,0.71,-0.27,314,32,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.42,0.88,-0.25,320,32,NA
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_mean,inc case,4,Overall,3.56,3.55,0.34,0.78,-0.19,241,32,NA
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_median,inc case,4,Overall,3.02,3,0.29,0.66,-0.34,241,32,NA
EuroCOVIDhub-cutoff_5_weeks_history_relative_skill_weighted_mean,inc case,4,Overall,2.24,2.37,0.33,0.76,-0.27,217,32,NA
EuroCOVIDhub-cutoff_5_weeks_history_relative_skill_weighted_median,inc case,4,Overall,1.97,2.01,0.26,0.63,-0.4,217,32,NA
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_mean,inc case,4,Overall,2.35,2.58,0.36,0.77,-0.21,244,31,NA
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_median,inc case,4,Overall,1.85,2.02,0.31,0.73,-0.34,244,31,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,1.55,1.72,0.36,0.78,-0.17,320,32,NA
EuroCOVIDhub-mean,inc case,4,Overall,2.21,2.55,0.37,0.76,-0.01,320,32,NA
EuroCOVIDhub-median,inc case,4,Overall,1.34,1.46,0.3,0.72,-0.26,320,32,NA
