model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
BIOCOMSC-Gompertz,inc case,1,Overall,0.38,NA,0.65,0.97,NA,266,31,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.27,0.94,0.23,534,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.71,0.61,0.6,0.95,0.12,534,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.05,0.88,0.43,0.86,0.22,530,32,NA
ILM-EKF,inc case,1,Overall,0.84,0.67,0.51,0.92,0.11,533,32,NA
LANL-GrowthRate,inc case,1,Overall,0.88,0.79,0.63,0.93,-0.27,503,32,NA
MUNI-ARIMA,inc case,1,Overall,0.41,0.68,0.56,0.9,0.11,279,32,NA
RobertWalraven-ESG,inc case,1,Overall,0.94,1.26,0.38,0.77,0.04,534,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.73,NA,NA,NA,NA,439,32,NA
UMass-SemiMech,inc case,1,Overall,0.95,1.03,0.53,0.91,0.17,435,32,NA
USC-SIkJalpha,inc case,1,Overall,0.96,1.02,0.41,0.5,0.2,534,32,NA
UVA-Ensemble,inc case,1,Overall,1.66,NA,0.44,0.74,NA,506,32,NA
epiforecasts-EpiExpert,inc case,1,Overall,0.87,0.69,0.34,0.81,0.21,201,32,NA
epiforecasts-EpiExpert_Rt,inc case,1,Overall,0.59,0.62,0.56,0.93,0.09,75,19,NA
epiforecasts-EpiExpert_direct,inc case,1,Overall,0.55,0.72,0.33,0.67,0.4,58,17,NA
epiforecasts-EpiNow2,inc case,1,Overall,0.89,0.77,0.49,0.86,0.04,532,32,NA
BIOCOMSC-Gompertz,inc case,2,Overall,0.35,NA,0.67,0.97,NA,238,31,NA
DSMPG-bayes,inc case,2,Overall,1.11,0.71,0.49,0.95,0.23,231,25,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.35,0.88,0.26,501,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.74,0.62,0.5,0.92,0.21,501,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.05,0.94,0.33,0.76,0.31,498,32,NA
ILM-EKF,inc case,2,Overall,0.89,0.69,0.45,0.91,0.16,500,32,NA
MUNI-ARIMA,inc case,2,Overall,0.45,0.82,0.6,0.92,0.13,246,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.85,1.16,0.37,0.72,0.08,501,32,NA
UMass-SemiMech,inc case,2,Overall,0.8,0.87,0.4,0.88,0.29,402,32,NA
USC-SIkJalpha,inc case,2,Overall,0.82,0.88,0.36,0.47,0.22,501,32,NA
UVA-Ensemble,inc case,2,Overall,1.39,NA,0.43,0.64,NA,473,32,NA
epiforecasts-EpiExpert,inc case,2,Overall,0.9,0.74,0.29,0.7,0.25,195,32,NA
epiforecasts-EpiExpert_Rt,inc case,2,Overall,0.55,0.6,0.35,0.79,0.23,71,19,NA
epiforecasts-EpiExpert_direct,inc case,2,Overall,0.54,0.81,0.28,0.57,0.47,53,17,NA
epiforecasts-EpiNow2,inc case,2,Overall,0.82,0.73,0.44,0.84,0.05,499,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.35,0.84,0.31,468,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,0.8,0.67,0.42,0.87,0.33,468,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.21,1.04,0.3,0.7,0.4,466,32,NA
ILM-EKF,inc case,3,Overall,1.01,0.76,0.44,0.9,0.23,468,32,NA
MUNI-ARIMA,inc case,3,Overall,0.48,0.92,0.62,0.93,0.16,183,31,NA
RobertWalraven-ESG,inc case,3,Overall,0.83,1.16,0.36,0.68,0.16,468,32,NA
UMass-SemiMech,inc case,3,Overall,0.79,0.88,0.39,0.8,0.36,369,32,NA
USC-SIkJalpha,inc case,3,Overall,0.78,0.81,0.33,0.43,0.23,468,32,NA
UVA-Ensemble,inc case,3,Overall,1.19,NA,0.35,0.57,NA,408,32,NA
epiforecasts-EpiExpert,inc case,3,Overall,0.88,0.71,0.24,0.68,0.32,190,32,NA
epiforecasts-EpiExpert_Rt,inc case,3,Overall,0.53,0.51,0.3,0.76,0.33,67,19,NA
epiforecasts-EpiExpert_direct,inc case,3,Overall,0.59,0.79,0.16,0.43,0.49,49,17,NA
epiforecasts-EpiNow2,inc case,3,Overall,0.86,0.74,0.42,0.84,0.1,466,32,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.33,0.81,0.36,437,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,0.93,0.8,0.35,0.8,0.41,437,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.43,1.24,0.29,0.63,0.44,436,32,NA
ILM-EKF,inc case,4,Overall,1.26,0.92,0.44,0.88,0.28,436,32,NA
MUNI-ARIMA,inc case,4,Overall,0.53,0.97,0.6,0.93,0.19,153,31,NA
RobertWalraven-ESG,inc case,4,Overall,0.77,1.11,0.38,0.69,0.16,437,32,NA
UMass-SemiMech,inc case,4,Overall,0.85,1.06,0.31,0.78,0.41,338,32,NA
USC-SIkJalpha,inc case,4,Overall,0.76,0.84,0.32,0.42,0.26,437,32,NA
UVA-Ensemble,inc case,4,Overall,1.17,NA,0.28,0.5,NA,345,32,NA
epiforecasts-EpiExpert,inc case,4,Overall,0.86,0.74,0.23,0.64,0.38,185,32,NA
epiforecasts-EpiExpert_direct,inc case,4,Overall,0.58,0.84,0.18,0.4,0.51,45,17,NA
epiforecasts-EpiNow2,inc case,4,Overall,0.96,0.81,0.39,0.81,0.12,435,32,NA
BIOCOMSC-Gompertz,inc death,1,Overall,0.69,NA,0.5,0.89,NA,250,31,NA
EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.42,0.95,0.19,539,32,NA
EuroCOVIDhub-ensemble,inc death,1,Overall,0.56,0.56,0.72,0.97,0.13,539,32,NA
IEM_Health-CovidProject,inc death,1,Overall,0.91,0.84,0.58,0.92,0.12,534,32,NA
ILM-EKF,inc death,1,Overall,0.7,0.8,0.86,0.99,0.11,538,32,NA
Imperial-DeCa,inc death,1,Overall,0.95,1.2,0.2,0.42,-0.27,248,22,NA
Imperial-RtI0,inc death,1,Overall,0.99,1.13,0.3,0.6,-0.01,248,22,NA
Imperial-sbkp,inc death,1,Overall,0.93,1.11,0.21,0.58,-0.04,248,22,NA
LANL-GrowthRate,inc death,1,Overall,0.73,0.67,0.36,0.86,0.01,508,32,NA
MUNI-ARIMA,inc death,1,Overall,0.53,0.76,0.53,0.94,0.18,283,32,NA
RobertWalraven-ESG,inc death,1,Overall,0.77,0.74,0.54,0.84,-0.03,539,32,NA
SDSC_ISG-TrendModel,inc death,1,Overall,0.75,NA,NA,NA,NA,443,32,NA
