model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
EuroCOVIDhub-baseline,inc case,1,AT,1182,289,887,6,1,1,0.25,1,-0.52,1,4,Austria
EuroCOVIDhub-ensemble,inc case,1,AT,799,598,39,162,0.68,0.56,1,1,0.15,1,4,Austria
IEM_Health-CovidProject,inc case,1,AT,909,668,2,239,0.77,0.68,0.75,1,0.28,1,4,Austria
ILM-EKF,inc case,1,AT,1115,838,4,273,0.94,0.74,0.75,1,0.25,1,4,Austria
LANL-GrowthRate,inc case,1,AT,955,500,454,0,0.81,0.84,0.5,1,-0.5,1,4,Austria
USC-SIkJalpha,inc case,1,AT,956,733,151,72,0.81,0.57,0.75,1,-0.05,1,4,Austria
epiforecasts-EpiNow2,inc case,1,AT,768,481,0,287,0.65,0.65,0.75,1,0.4,1,4,Austria
EuroCOVIDhub-baseline,inc death,1,AT,14,5,7,2,1,1,0.25,1,-0.32,1,4,Austria
EuroCOVIDhub-ensemble,inc death,1,AT,13,10,1,2,0.96,0.79,1,1,0.05,1,4,Austria
IEM_Health-CovidProject,inc death,1,AT,19,11,7,0,1.37,1.35,0.75,1,-0.25,1,4,Austria
ILM-EKF,inc death,1,AT,26,23,0,2,1.86,0.84,1,1,0.07,1,4,Austria
LANL-GrowthRate,inc death,1,AT,12,4,7,1,0.86,0.79,0.5,1,-0.06,1,4,Austria
RobertWalraven-ESG,inc death,1,AT,12,6,5,2,0.9,1.11,0.25,1,-0.3,1,4,Austria
USC-SIkJalpha,inc death,1,AT,16,12,1,3,1.17,0.89,0.75,1,0.2,1,4,Austria
epiforecasts-EpiNow2,inc death,1,AT,21,6,0,15,1.52,1.72,0.25,1,0.76,1,4,Austria
EuroCOVIDhub-baseline,inc case,1,BE,5099,574,3506,1019,1,1,0,1,-0.41,1,4,Belgium
EuroCOVIDhub-ensemble,inc case,1,BE,2429,1298,573,559,0.48,0.57,0.5,1,-0.15,1,4,Belgium
IEM_Health-CovidProject,inc case,1,BE,2978,1424,660,894,0.58,0.7,0.5,1,-0.1,1,4,Belgium
ILM-EKF,inc case,1,BE,3900,1140,805,1955,0.76,0.87,0.5,0.75,-0.15,1,4,Belgium
LANL-GrowthRate,inc case,1,BE,2277,1443,366,468,0.45,0.41,0.5,1,-0.08,1,4,Belgium
USC-SIkJalpha,inc case,1,BE,4813,1190,3623,0,0.94,1.07,0.5,0.75,-0.62,1,4,Belgium
epiforecasts-EpiNow2,inc case,1,BE,2708,1437,490,781,0.53,0.63,0.75,1,-0.08,1,4,Belgium
EuroCOVIDhub-baseline,inc death,1,BE,26,18,8,1,1,1,0.75,1,-0.12,1,4,Belgium
