model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,coverage_deviation,bias,aem,relative_skill,scaled_rel_skill,cov_50,cov_95,mae,n,continuous_weeks
EuroCOVIDhub-ensemble,inc case,1,AT,667.7961413043479,383.57603260869564,19.66304347826087,264.5570652173913,0.07673913043478262,0.34875,994.0625,0.8206115955844175,NA,0.6875,0.9375,994.0625,16,17
IEM_Health-CovidProject,inc case,1,AT,870.4212979115197,391.2751009247845,0.8611909594713457,478.2850060272639,-0.042826086956521736,0.540625,1329.1213319170633,1.0902909370484133,NA,0.375,0.875,1329.1213319170633,16,17
ILM-EKF,inc case,1,AT,834.5652046063018,514.4061112352804,6.989130434782609,313.1699629362388,0.13652173913043478,0.2625,1143.205324145163,0.9743987578069854,NA,0.6875,1,1143.205324145163,16,17
LANL-GrowthRate,inc case,1,AT,651.7429551242236,369.1973029503106,190.24875776397516,92.29689440993786,0.04956521739130435,-0.2285714285714286,1044.25,0.6570320452339065,NA,0.42857142857142855,1,1044.25,14,1
RobertWalraven-ESG,inc case,1,AT,678.0608365384616,434.53569230769233,14.190913461538448,229.33423076923077,0.09538461538461539,0.3105769230769231,874.6573557692307,0.9843221248122648,NA,0.625,0.9375,1132.2293749999997,16,17
USC-SIkJalpha,inc case,1,AT,1052.604741847826,388.6351766304348,33.04891304347826,630.920652173913,-0.23847826086956522,0.61875,1215.1875,1.3650398492046472,NA,0.3125,0.5,1215.1875,16,17
epiforecasts-EpiExpert,inc case,1,AT,765.0290497682728,282.1324296736352,65.3425879114231,417.5540321832144,-0.11468599033816425,0.35,1161.5666666666666,0.9850274149827416,NA,0.3333333333333333,0.8888888888888888,1161.5666666666666,9,0
epiforecasts-EpiNow2,inc case,1,AT,620.5727989130435,252.27116847826088,131.6358695652174,236.66576086956522,-0.15695652173913044,0.066875,984.25,0.7343659192388446,NA,0.4375,0.6875,984.25,16,17
EuroCOVIDhub-ensemble,inc case,2,AT,1399.3567536231885,610.432115942029,12.918840579710144,776.0057971014493,0.014782608695652177,0.44666666666666666,2081.266666666667,0.9092959533791601,NA,0.6,0.9333333333333333,2081.266666666667,15,17
IEM_Health-CovidProject,inc case,2,AT,1887.205050725875,622.6449201468253,1.4994616771629419,1263.0606689018869,-0.17072463768115942,0.64,2906.1081742781694,1.269431398340028,NA,0.3333333333333333,0.7333333333333333,2906.1081742781694,15,17
ILM-EKF,inc case,2,AT,1709.8477485525113,915.2488538167534,5.466666666666667,789.1322280690913,0.09594202898550724,0.35333333333333333,2434.1771272204232,1.0122253819104052,NA,0.6666666666666666,1,2434.1771272204232,15,17
LANL-GrowthRate,inc case,2,AT,1092.76897189441,494.54692220496895,185.20124223602483,413.0208074534161,0.030931677018633544,0.11785714285714285,1751.5357142857142,0.6372561323748182,NA,0.5714285714285714,1,1751.5357142857142,14,1
RobertWalraven-ESG,inc case,2,AT,990.7821405405405,572.8386810810811,33.9141081081081,384.0293513513513,0.1227027027027027,0.2578378378378378,1247.1668108108106,0.7955412259631417,NA,0.5333333333333333,0.8666666666666667,1849.4226666666664,15,17
USC-SIkJalpha,inc case,2,AT,1719.581252173913,457.45719420289856,37.58898550724637,1224.535072463768,-0.2808695652173913,0.65,2187.266666666667,1.1984917351597437,NA,0.26666666666666666,0.4666666666666667,2187.266666666667,15,17
UVA-Ensemble,inc case,1,AT,1334.0025512344362,615.6559568252875,125.93443209827579,592.4121623108729,-0.014285714285714285,0.3066666666666667,2641.128847477717,1.6850957051166102,NA,0.3333333333333333,1,2641.128847477717,15,16
epiforecasts-EpiExpert,inc case,2,AT,1614.2931985552893,372.6532221178337,91.069352962690715,1150.570623474765,-0.17265700483091787,0.4311111111111111,2244.5953703703667,1.094629549906935,NA,0.3333333333333333,0.5555555555555556,2244.5953703703667,9,0
epiforecasts-EpiNow2,inc case,2,AT,1400.2060869565219,494.78289855072467,224.8057971014493,680.6173913043478,-0.1591304347826087,0.212,2243.2,0.8652245816771709,NA,0.26666666666666666,0.7333333333333333,2243.2,15,17
DSMPG-bayes,inc case,1,AT,1265.0226127264777,319.9279125418243,5.915549490081231,939.1791506945723,-0.16782608695652174,0.58875,2029.8514593513491,0.9945831071935292,NA,0.25,0.75,2029.8514593513491,8,0
EuroCOVIDhub-ensemble,inc case,3,AT,2348.4969875776396,900.2733850931677,6.3229813664596275,1441.9006211180124,-0.062236024844720496,0.5642857142857143,3534.714285714286,0.929451518021884,NA,0.5,0.8571428571428571,3534.714285714286,14,17
IEM_Health-CovidProject,inc case,3,AT,3295.7198988543973,934.7922506553978,0,2360.9276481989996,-0.24236024844720497,0.775,5084.508210820535,1.3871379057480093,NA,0.21428571428571427,0.7142857142857143,5084.508210820535,14,17
ILM-EKF,inc case,3,AT,2891.221864213758,1469.3864266081814,6.993788819875776,1414.841648785701,0.04956521739130435,0.44285714285714284,4382.054037165217,1.059719016404332,NA,0.5714285714285714,1,4382.054037165217,14,17
LANL-GrowthRate,inc case,3,AT,1967.444385785953,664.4529476588629,225.48862876254182,1077.5028093645485,-0.1042809364548495,0.3907692307692308,3202.730769230769,0.748852416813695,NA,0.46153846153846156,0.8461538461538461,3202.730769230769,13,1
RobertWalraven-ESG,inc case,3,AT,1290.2289444444443,706.5293765432099,68.14635802469135,515.5532098765432,0.10839506172839507,0.3175925925925926,1673.0863580246914,0.6742848117605451,NA,0.5,0.8571428571428571,2520.3035714285716,14,17
USC-SIkJalpha,inc case,3,AT,2805.613652173913,535.8161366459627,21.570186335403733,2248.2273291925467,-0.3603726708074534,0.6857142857142857,3232.8571428571427,1.1731454856509864,NA,0.21428571428571427,0.2857142857142857,3232.8571428571427,14,17
UVA-Ensemble,inc case,2,AT,2108.5568769885367,785.7273237539176,250.13787610939698,1072.691677125222,-0.11224489795918367,0.2357142857142857,4376.297429347893,1.4426119345833155,NA,0.2857142857142857,0.9285714285714286,4376.297429347893,14,16
epiforecasts-EpiExpert,inc case,3,AT,2846.4600995064075,509.8781069819251,126.3866623027702,2210.195330221712,-0.30792270531400967,0.4355555555555556,3906.165185185189,1.1175705672048377,NA,0.2222222222222222,0.4444444444444444,3906.165185185189,9,0
epiforecasts-EpiNow2,inc case,3,AT,2179.3790838509317,782.7797049689441,184.92857142857144,1211.6708074534163,-0.16782608695652174,0.1842857142857143,3389.785714285714,0.8251072140568626,NA,0.35714285714285715,0.6428571428571429,3389.785714285714,14,17
DSMPG-bayes,inc case,2,AT,2186.280528151048,650.7897934740026,14.77356531342491,1520.7171693636208,-0.15695652173913044,0.54125,3566.8625297270546,0.8754802211242947,NA,0.375,0.875,3566.8625297270546,8,0
EuroCOVIDhub-ensemble,inc case,4,AT,3493.6482943143815,1284.0429431438126,0,2209.6053511705686,-0.15779264214046823,0.6984615384615385,5403.538461538462,0.9781237380037553,NA,0.23076923076923078,0.7692307692307693,5403.538461538462,13,17
IEM_Health-CovidProject,inc case,4,AT,5208.365420866611,1387.1698395065707,0,3821.1955813600407,-0.3718394648829431,0.8853846153846154,8123.416890725202,1.5528371301620572,NA,0.15384615384615385,0.46153846153846156,8123.416890725202,13,17
