model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
BIOCOMSC-Gompertz,inc case,1,Overall,0.58,NA,0.6,0.96,NA,403,32,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.31,0.93,0.1,694,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.8,0.73,0.56,0.94,0.05,694,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.06,0.98,0.4,0.82,0.1,685,32,NA
ILM-EKF,inc case,1,Overall,1.05,1.01,0.44,0.86,0.01,693,32,NA
Karlen-pypm,inc case,1,Overall,1.68,1.09,0.54,0.89,0.28,123,29,NA
LANL-GrowthRate,inc case,1,Overall,0.88,0.81,0.57,0.91,-0.3,663,32,NA
MUNI-ARIMA,inc case,1,Overall,0.6,0.74,0.54,0.89,-0,439,32,NA
RobertWalraven-ESG,inc case,1,Overall,1.01,1.13,0.36,0.74,-0.13,694,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.76,NA,NA,NA,NA,599,32,NA
USC-SIkJalpha,inc case,1,Overall,1.1,1.25,0.38,0.5,0.08,694,32,NA
UVA-Ensemble,inc case,1,Overall,1.94,NA,0.45,0.76,NA,666,32,NA
epiforecasts-EpiExpert,inc case,1,Overall,0.89,0.79,0.36,0.82,0.2,224,32,NA
epiforecasts-EpiExpert_Rt,inc case,1,Overall,0.87,0.93,0.57,0.92,0.12,91,19,NA
epiforecasts-EpiExpert_direct,inc case,1,Overall,0.7,0.78,0.34,0.7,0.31,80,17,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.16,1.15,0.48,0.85,0.02,692,32,NA
BIOCOMSC-Gompertz,inc case,2,Overall,0.68,NA,0.58,0.95,NA,374,32,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.39,0.87,0.11,661,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.89,0.9,0.45,0.88,0.09,661,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.08,1.09,0.29,0.69,0.15,653,32,NA
ILM-EKF,inc case,2,Overall,1.3,1.42,0.38,0.82,0.02,660,32,NA
Karlen-pypm,inc case,2,Overall,3.45,2.17,0.31,0.71,0.38,94,29,NA
LANL-GrowthRate,inc case,2,Overall,0.86,0.85,0.49,0.86,-0.2,631,32,NA
MUNI-ARIMA,inc case,2,Overall,0.7,0.78,0.56,0.9,-0.04,406,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.92,0.98,0.33,0.66,-0.23,661,32,NA
USC-SIkJalpha,inc case,2,Overall,0.99,1.21,0.32,0.41,0.04,661,32,NA
UVA-Ensemble,inc case,2,Overall,1.56,NA,0.42,0.68,NA,633,32,NA
epiforecasts-EpiExpert,inc case,2,Overall,0.97,1.02,0.28,0.69,0.22,218,32,NA
epiforecasts-EpiExpert_Rt,inc case,2,Overall,0.91,1.1,0.36,0.78,0.22,87,19,NA
epiforecasts-EpiExpert_direct,inc case,2,Overall,0.83,0.97,0.24,0.56,0.33,75,17,NA
epiforecasts-EpiNow2,inc case,2,Overall,1.21,1.38,0.39,0.8,-0.01,659,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.4,0.83,0.14,628,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,0.99,1.05,0.38,0.83,0.14,628,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.23,1.29,0.26,0.62,0.17,621,32,NA
ILM-EKF,inc case,3,Overall,1.46,1.73,0.37,0.79,0.03,627,32,NA
Karlen-pypm,inc case,3,Overall,4.47,2.82,0.23,0.6,0.42,65,29,NA
LANL-GrowthRate,inc case,3,Overall,0.86,0.9,0.43,0.79,-0.1,597,32,NA
MUNI-ARIMA,inc case,3,Overall,0.82,0.87,0.54,0.88,-0.12,343,32,NA
RobertWalraven-ESG,inc case,3,Overall,0.91,0.96,0.31,0.62,-0.27,628,32,NA
USC-SIkJalpha,inc case,3,Overall,0.95,1.18,0.29,0.37,-0,628,32,NA
UVA-Ensemble,inc case,3,Overall,1.26,NA,0.35,0.61,NA,568,32,NA
epiforecasts-EpiExpert,inc case,3,Overall,1.12,1.3,0.23,0.66,0.26,212,32,NA
epiforecasts-EpiExpert_Rt,inc case,3,Overall,1.03,1.29,0.3,0.72,0.25,83,19,NA
epiforecasts-EpiExpert_direct,inc case,3,Overall,1.17,1.37,0.11,0.43,0.28,70,17,NA
epiforecasts-EpiNow2,inc case,3,Overall,1.19,1.3,0.36,0.76,-0.03,626,32,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.39,0.82,0.17,595,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,1.1,1.18,0.34,0.78,0.18,595,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.37,1.37,0.25,0.57,0.17,589,32,NA
ILM-EKF,inc case,4,Overall,1.9,2.31,0.37,0.77,0.03,594,32,NA
Karlen-pypm,inc case,4,Overall,3.52,2.11,0.11,0.58,0.45,36,18,NA
LANL-GrowthRate,inc case,4,Overall,0.86,0.88,0.36,0.77,0.01,564,32,NA
MUNI-ARIMA,inc case,4,Overall,0.79,0.8,0.52,0.88,-0.16,311,32,NA
RobertWalraven-ESG,inc case,4,Overall,0.87,0.95,0.33,0.62,-0.32,595,32,NA
USC-SIkJalpha,inc case,4,Overall,0.87,1.05,0.27,0.35,-0.02,595,32,NA
UVA-Ensemble,inc case,4,Overall,1.23,NA,0.26,0.5,NA,503,32,NA
epiforecasts-EpiExpert,inc case,4,Overall,1.22,1.52,0.23,0.62,0.32,208,32,NA
epiforecasts-EpiExpert_Rt,inc case,4,Overall,0.97,1.21,0.22,0.62,0.24,79,19,NA
epiforecasts-EpiExpert_direct,inc case,4,Overall,1.34,1.77,0.15,0.39,0.28,67,17,NA
epiforecasts-EpiNow2,inc case,4,Overall,1.17,1.22,0.32,0.71,-0.05,593,32,NA
LANL-GrowthRate,inc case,5,Overall,NA,NA,0.29,0.73,0.12,532,32,NA
USC-SIkJalpha,inc case,5,Overall,NA,NA,0.23,0.32,-0.03,563,32,NA
BIOCOMSC-Gompertz,inc death,1,Overall,0.66,NA,0.46,0.88,NA,362,32,NA
EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.51,0.96,0.15,699,32,NA
EuroCOVIDhub-ensemble,inc death,1,Overall,0.58,0.56,0.72,0.97,0.12,699,32,NA
IEM_Health-CovidProject,inc death,1,Overall,0.91,0.82,0.58,0.9,0.07,689,32,NA
ILM-EKF,inc death,1,Overall,0.75,0.81,0.86,0.98,0.11,698,32,NA
Imperial-DeCa,inc death,1,Overall,0.94,1.17,0.19,0.43,-0.19,310,22,NA
Imperial-RtI0,inc death,1,Overall,0.96,1.07,0.34,0.65,-0.03,310,22,NA
Imperial-sbkp,inc death,1,Overall,0.9,1.03,0.25,0.6,-0.07,310,22,NA
Karlen-pypm,inc death,1,Overall,0.5,0.71,0.58,0.97,0.05,123,29,NA
LANL-GrowthRate,inc death,1,Overall,0.75,0.67,0.37,0.85,0.01,668,32,NA
MUNI-ARIMA,inc death,1,Overall,0.52,0.75,0.6,0.95,0.09,443,32,NA
RobertWalraven-ESG,inc death,1,Overall,0.8,0.75,0.6,0.86,-0.05,699,32,NA
SDSC_ISG-TrendModel,inc death,1,Overall,0.75,NA,NA,NA,NA,603,32,NA
UMass-MechBayes,inc death,1,Overall,0.68,0.75,0.55,0.92,0.14,599,32,NA
USC-SIkJalpha,inc death,1,Overall,0.78,0.89,0.4,0.51,0.23,699,32,NA
USyd-OneModelMan,inc death,1,Overall,0.67,NA,NA,NA,NA,603,32,NA
epiforecasts-EpiExpert,inc death,1,Overall,1.03,0.76,0.41,0.77,0.17,222,32,NA
