model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,ae,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
EuroCOVIDhub-baseline,inc case,1,AT,987,297,317,372,1,1514,1,0.32,1,-0.01,1,28,Austria
EuroCOVIDhub-ensemble,inc case,1,AT,533,305,59,169,0.5,805,0.52,0.68,0.93,0.16,1,28,Austria
IEM_Health-CovidProject,inc case,1,AT,668,283,80,305,0.62,994,0.63,0.46,0.82,0.27,1,28,Austria
ILM-EKF,inc case,1,AT,758,423,102,233,0.76,1040,0.69,0.64,0.93,0.13,1,28,Austria
LANL-GrowthRate,inc case,1,AT,544,271,210,63,0.54,817,0.5,0.44,0.93,-0.26,1,27,Austria
USC-SIkJalpha,inc case,1,AT,809,266,167,376,0.78,959,0.62,0.32,0.57,0.24,1,28,Austria
EuroCOVIDhub-baseline,inc case,2,AT,1808,582,533,693,1,2970,1,0.3,1,-0.01,1,27,Austria
EuroCOVIDhub-ensemble,inc case,2,AT,1095,487,143,465,0.56,1526,0.48,0.59,0.89,0.17,1,27,Austria
IEM_Health-CovidProject,inc case,2,AT,1433,427,222,784,0.73,2151,0.69,0.33,0.74,0.33,1,27,Austria
ILM-EKF,inc case,2,AT,1486,737,184,565,0.8,2122,0.71,0.59,0.89,0.17,1,27,Austria
LANL-GrowthRate,inc case,2,AT,1035,398,387,250,0.57,1581,0.52,0.54,0.85,-0.1,1,26,Austria
USC-SIkJalpha,inc case,2,AT,1433,304,390,739,0.78,1825,0.61,0.19,0.44,0.19,1,27,Austria
epiforecasts-EpiNow2,inc case,2,AT,1752,706,322,724,1.08,2664,0.95,0.33,0.78,0.04,1,27,Austria
EuroCOVIDhub-baseline,inc case,3,AT,2487,811,667,1009,1,4214,1,0.38,1,0.04,1,26,Austria
EuroCOVIDhub-ensemble,inc case,3,AT,1819,705,271,843,0.68,2688,0.6,0.38,0.85,0.22,1,26,Austria
IEM_Health-CovidProject,inc case,3,AT,2467,639,402,1426,0.91,3725,0.84,0.15,0.69,0.31,1,26,Austria
ILM-EKF,inc case,3,AT,2472,1161,288,1022,0.97,3717,0.88,0.46,0.88,0.2,1,26,Austria
LANL-GrowthRate,inc case,3,AT,1747,551,621,574,0.69,2515,0.56,0.4,0.76,-0.01,1,25,Austria
USC-SIkJalpha,inc case,3,AT,2331,350,583,1398,0.91,2687,0.63,0.15,0.27,0.19,1,26,Austria
epiforecasts-EpiNow2,inc case,3,AT,3620,1478,464,1678,1.76,5316,1.42,0.31,0.62,0.04,1,26,Austria
