model,target_variable,forecast_date,target_end_date,horizon,location,location_name,wis,sharpness,underprediction,overprediction,ae_median,bias,cov_50,cov_95,n_quantiles
EuroCOVIDhub-baseline,inc case,2023-09-25,2023-10-21,4,AT,Austria,2532,2499,0,33,754,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-10-02,2023-10-21,3,AT,Austria,2028,1995,0,33,754,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-10-09,2023-10-21,2,AT,Austria,1441,1401,0,40,754,0.2,1,1,23
EuroCOVIDhub-baseline,inc case,2023-10-16,2023-10-21,1,AT,Austria,829,705,0,124,754,0.3,1,1,23
Lydia-simpleARIMA,inc case,2023-10-16,2023-10-21,1,AT,Austria,888,885,0,4,88,0.1,1,1,23
SGroup-RandomForest,inc case,2023-09-25,2023-10-21,4,AT,Austria,95,39,57,0,71,-0.9,0,1,23
SGroup-RandomForest,inc case,2023-10-02,2023-10-21,3,AT,Austria,387,350,37,0,71,-0.7,0,1,23
SGroup-RandomForest,inc case,2023-10-09,2023-10-21,2,AT,Austria,94,37,57,0,71,-0.9,0,1,23
EuroCOVIDhub-baseline,inc case,2023-10-02,2023-10-28,4,AT,Austria,2550,2516,0,34,781,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-10-09,2023-10-28,3,AT,Austria,2033,1999,0,34,781,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-10-16,2023-10-28,2,AT,Austria,1445,1398,0,46,781,0.2,1,1,23
EuroCOVIDhub-baseline,inc case,2023-10-23,2023-10-28,1,AT,Austria,835,705,0,130,781,0.3,1,1,23
Lydia-simpleARIMA,inc case,2023-10-16,2023-10-28,2,AT,Austria,2323,2303,0,20,463,0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-10-23,2023-10-28,1,AT,Austria,1106,1104,2,0,44,-0.1,1,1,23
SGroup-RandomForest,inc case,2023-10-02,2023-10-28,4,AT,Austria,142,111,31,0,44,-0.9,0,1,23
SGroup-RandomForest,inc case,2023-10-09,2023-10-28,3,AT,Austria,430,409,21,0,44,-0.6,0,1,23
EuroCOVIDhub-baseline,inc case,2023-10-09,2023-11-04,4,AT,Austria,2541,2508,0,33,762,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-10-16,2023-11-04,3,AT,Austria,2033,2000,0,33,762,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-10-23,2023-11-04,2,AT,Austria,1442,1399,0,43,762,0.2,1,1,23
EuroCOVIDhub-baseline,inc case,2023-10-30,2023-11-04,1,AT,Austria,831,705,0,126,762,0.3,1,1,23
Lydia-SARIMA,inc case,2023-10-30,2023-11-04,1,AT,Austria,1131,1131,0,1,14,0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-10-16,2023-11-04,3,AT,Austria,3715,3700,0,15,346,0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-10-23,2023-11-04,2,AT,Austria,2448,2445,3,0,63,-0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-10-30,2023-11-04,1,AT,Austria,1066,1063,3,0,63,-0.1,1,1,23
SGroup-RandomForest,inc case,2023-10-09,2023-11-04,4,AT,Austria,121,75,46,0,63,-0.9,0,1,23
EuroCOVIDhub-baseline,inc case,2023-10-16,2023-11-11,4,AT,Austria,2535,2503,0,32,738,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-10-23,2023-11-11,3,AT,Austria,2025,1993,0,32,738,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-10-30,2023-11-11,2,AT,Austria,1441,1403,0,38,738,0.2,1,1,23
EuroCOVIDhub-baseline,inc case,2023-11-06,2023-11-11,1,AT,Austria,826,705,0,121,738,0.3,1,1,23
Lydia-SARIMA,inc case,2023-10-30,2023-11-11,2,AT,Austria,2440,2436,4,0,87,-0.1,1,1,23
Lydia-SARIMA,inc case,2023-11-06,2023-11-11,1,AT,Austria,1108,1104,4,0,87,-0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-10-16,2023-11-11,4,AT,Austria,4752,4749,2,0,53,-0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-10-23,2023-11-11,3,AT,Austria,3585,3581,4,0,87,-0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-10-30,2023-11-11,2,AT,Austria,2326,2322,4,0,87,-0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-11-06,2023-11-11,1,AT,Austria,1110,1106,4,0,87,-0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-10-23,2023-11-18,4,AT,Austria,2548,2516,0,33,749,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-10-30,2023-11-18,3,AT,Austria,2030,1998,0,33,749,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-11-06,2023-11-18,2,AT,Austria,1445,1404,0,41,749,0.2,1,1,23
EuroCOVIDhub-baseline,inc case,2023-11-13,2023-11-18,1,AT,Austria,828,705,0,123,749,0.3,1,1,23
Lydia-SARIMA,inc case,2023-10-30,2023-11-18,3,AT,Austria,3571,3568,3,0,76,-0.1,1,1,23
Lydia-SARIMA,inc case,2023-11-06,2023-11-18,2,AT,Austria,2479,2476,3,0,76,-0.1,1,1,23
Lydia-SARIMA,inc case,2023-11-13,2023-11-18,1,AT,Austria,1320,1286,0,34,775,0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-10-23,2023-11-18,4,AT,Austria,4391,4388,3,0,76,-0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-10-30,2023-11-18,3,AT,Austria,3419,3416,3,0,76,-0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-11-06,2023-11-18,2,AT,Austria,2383,2380,3,0,76,-0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-11-13,2023-11-18,1,AT,Austria,1258,1237,0,22,501,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-10-30,2023-11-25,4,AT,Austria,2546,2515,0,31,721,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-11-06,2023-11-25,3,AT,Austria,2025,1993,0,31,721,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-11-13,2023-11-25,2,AT,Austria,1439,1403,0,36,721,0.2,1,1,23
EuroCOVIDhub-baseline,inc case,2023-11-20,2023-11-25,1,AT,Austria,822,705,0,117,721,0.3,1,1,23
Lydia-SARIMA,inc case,2023-10-30,2023-11-25,4,AT,Austria,4393,4389,5,0,104,-0.1,1,1,23
Lydia-SARIMA,inc case,2023-11-06,2023-11-25,3,AT,Austria,3692,3692,0,0,3,0.1,1,1,23
Lydia-SARIMA,inc case,2023-11-13,2023-11-25,2,AT,Austria,2677,2637,0,39,904,0.1,1,1,23
Lydia-SARIMA,inc case,2023-11-20,2023-11-25,1,AT,Austria,2707,2667,0,40,925,0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-10-30,2023-11-25,4,AT,Austria,4253,4248,5,0,104,-0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-11-06,2023-11-25,3,AT,Austria,3536,3532,5,0,104,-0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-11-13,2023-11-25,2,AT,Austria,2558,2544,0,14,325,0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-11-20,2023-11-25,1,AT,Austria,2663,2627,0,36,836,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-11-06,2023-12-02,4,AT,Austria,2530,2500,0,30,694,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-11-13,2023-12-02,3,AT,Austria,2032,2002,0,30,694,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-11-20,2023-12-02,2,AT,Austria,1437,1404,0,34,694,0.2,1,1,23
EuroCOVIDhub-baseline,inc case,2023-11-27,2023-12-02,1,AT,Austria,816,705,0,111,694,0.3,1,1,23
Lydia-SARIMA,inc case,2023-11-06,2023-12-02,4,AT,Austria,4629,4619,0,10,228,0.1,1,1,23
Lydia-SARIMA,inc case,2023-11-13,2023-12-02,3,AT,Austria,3879,3827,0,51,1179,0.1,1,1,23
Lydia-SARIMA,inc case,2023-11-20,2023-12-02,2,AT,Austria,3933,3885,0,48,1096,0.1,1,1,23
Lydia-SARIMA,inc case,2023-11-27,2023-12-02,1,AT,Austria,2623,2599,0,24,550,0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-11-06,2023-12-02,4,AT,Austria,4411,4405,6,0,131,-0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-11-13,2023-12-02,3,AT,Austria,3782,3747,0,35,809,0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-11-20,2023-12-02,2,AT,Austria,3917,3850,0,67,1545,0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-11-27,2023-12-02,1,AT,Austria,2667,2633,0,34,773,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-11-13,2023-12-09,4,AT,Austria,2548,2517,0,31,723,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-11-20,2023-12-09,3,AT,Austria,2026,1994,0,31,723,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-11-27,2023-12-09,2,AT,Austria,1433,1397,0,37,723,0.2,1,1,23
EuroCOVIDhub-baseline,inc case,2023-12-04,2023-12-09,1,AT,Austria,822,705,0,117,723,0.3,1,1,23
Lydia-SARIMA,inc case,2023-11-13,2023-12-09,4,AT,Austria,4647,4625,0,22,507,0.1,1,1,23
Lydia-SARIMA,inc case,2023-11-20,2023-12-09,3,AT,Austria,4765,4720,0,45,1032,0.1,1,1,23
Lydia-SARIMA,inc case,2023-11-27,2023-12-09,2,AT,Austria,3723,3717,0,6,149,0.1,1,1,23
Lydia-SARIMA,inc case,2023-12-04,2023-12-09,1,AT,Austria,2703,2668,0,34,793,0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-11-13,2023-12-09,4,AT,Austria,4699,4646,0,53,1216,0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-11-20,2023-12-09,3,AT,Austria,4690,4644,0,46,1069,0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-11-27,2023-12-09,2,AT,Austria,3866,3820,0,47,1070,0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-12-04,2023-12-09,1,AT,Austria,2652,2624,0,28,644,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-11-20,2023-12-16,4,AT,Austria,2541,2512,0,29,677,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-11-27,2023-12-16,3,AT,Austria,2018,1989,0,29,677,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-12-04,2023-12-16,2,AT,Austria,1428,1397,0,31,677,0.2,1,1,23
EuroCOVIDhub-baseline,inc case,2023-12-11,2023-12-16,1,AT,Austria,812,705,0,107,677,0.3,1,1,23
Lydia-SARIMA,inc case,2023-11-27,2023-12-16,3,AT,Austria,4491,4488,0,2,56,0.1,1,1,23
Lydia-SARIMA,inc case,2023-12-04,2023-12-16,2,AT,Austria,3878,3833,0,45,1043,0.1,1,1,23
Lydia-SARIMA,inc case,2023-12-11,2023-12-16,1,AT,Austria,2652,2618,0,34,783,0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-11-27,2023-12-16,3,AT,Austria,4720,4662,0,59,1346,0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-12-04,2023-12-16,2,AT,Austria,3837,3798,0,39,906,0.1,1,1,23
Lydia-simpleARIMA,inc case,2023-12-11,2023-12-16,1,AT,Austria,2600,2586,0,14,325,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-11-27,2023-12-23,4,AT,Austria,2528,2498,0,30,699,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-12-04,2023-12-23,3,AT,Austria,2028,1998,0,30,699,0.1,1,1,23
EuroCOVIDhub-baseline,inc case,2023-12-11,2023-12-23,2,AT,Austria,1437,1402,0,35,699,0.2,1,1,23
Lydia-SARIMA,inc case,2023-12-04,2023-12-23,3,AT,Austria,4673,4639,0,34,781,0.1,1,1,23
Lydia-SARIMA,inc case,2023-12-11,2023-12-23,2,AT,Austria,3864,3825,0,38,881,0.1,1,1,23
Lydia-SARIMA,inc case,2023-12-18,2023-12-23,1,AT,Austria,2691,2645,0,46,1047,0.1,1,1,23
