weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
10,AMM-EpiInvert,inc case,4,Overall,1.4,1.43,0.32,0.8,0.24,277,32,NA
10,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.79,1,0.13,315,32,NA
10,EuroCOVIDhub-ensemble,inc case,4,Overall,1.32,1.34,0.4,0.82,0.21,279,32,NA
10,ILM-EKF,inc case,4,Overall,1.72,1.77,0.27,0.67,0.13,298,32,NA
10,AMM-EpiInvert,inc case,3,Overall,1.18,1.18,0.31,0.8,0.2,284,32,NA
10,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.78,1,0.12,316,32,NA
10,EuroCOVIDhub-ensemble,inc case,3,Overall,1.16,1.15,0.39,0.82,0.22,280,32,NA
10,ILM-EKF,inc case,3,Overall,1.36,1.36,0.28,0.67,0.15,301,32,NA
10,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.73,1,0.14,317,32,NA
10,EuroCOVIDhub-ensemble,inc case,2,Overall,1,0.95,0.37,0.84,0.19,280,32,NA
10,ILM-EKF,inc case,2,Overall,1.08,1.08,0.26,0.72,0.16,304,32,NA
10,USC-SIkJalpha,inc case,2,Overall,1.37,1.67,0.13,0.41,0.31,285,32,NA
10,EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.58,1,0.15,318,32,NA
10,EuroCOVIDhub-ensemble,inc case,1,Overall,0.83,0.74,0.42,0.88,0.07,281,32,NA
10,ILM-EKF,inc case,1,Overall,0.92,0.99,0.33,0.74,0.14,307,32,NA
10,SDSC_ISG-TrendModel,inc case,1,Overall,0.81,0.87,0.57,0.87,-0.1,318,32,NA
10,USC-SIkJalpha,inc case,1,Overall,1.2,1.3,0.21,0.57,0.06,285,32,NA
10,EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.82,0.98,-0.01,309,31,NA
10,ILM-EKF,inc death,4,Overall,1.2,1.01,0.54,0.9,-0.1,293,31,NA
10,EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.78,0.98,-0,309,31,NA
10,ILM-EKF,inc death,3,Overall,0.81,0.74,0.63,0.92,-0.07,296,31,NA
10,EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.71,0.97,0.01,309,31,NA
10,EuroCOVIDhub-ensemble,inc death,2,Overall,0.63,0.58,0.6,0.92,-0.1,217,31,NA
10,ILM-EKF,inc death,2,Overall,0.73,0.69,0.7,0.92,-0.03,299,31,NA
10,USC-SIkJalpha,inc death,2,Overall,0.93,0.92,0.31,0.48,-0.24,256,31,NA
10,EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.57,0.94,0.05,309,31,NA
10,EuroCOVIDhub-ensemble,inc death,1,Overall,0.75,0.69,0.58,0.94,-0.02,217,31,NA
10,ILM-EKF,inc death,1,Overall,0.79,0.8,0.74,0.92,0.01,302,31,NA
10,SDSC_ISG-TrendModel,inc death,1,Overall,1.12,1.06,0.46,0.83,-0.09,309,31,NA
10,USC-SIkJalpha,inc death,1,Overall,1.13,1.14,0.3,0.48,-0.17,256,31,NA
10,AMM-EpiInvert,inc case,4,AT,1.42,1.32,0.3,1,0.16,10,1,Austria
10,EuroCOVIDhub-baseline,inc case,4,AT,1,1,0.8,1,0.11,10,1,Austria
10,ILM-EKF,inc case,4,AT,1.85,1.65,0.3,0.9,-0.02,10,1,Austria
10,AMM-EpiInvert,inc case,3,AT,1.27,1.22,0.3,0.9,0.12,10,1,Austria
10,EuroCOVIDhub-baseline,inc case,3,AT,1,1,0.7,1,0.06,10,1,Austria
10,ILM-EKF,inc case,3,AT,1.54,1.37,0.2,0.9,-0,10,1,Austria
10,EuroCOVIDhub-baseline,inc case,2,AT,1,1,0.6,1,-0,10,1,Austria
10,EuroCOVIDhub-ensemble,inc case,2,AT,0.82,0.8,0.56,0.89,-0.07,9,1,Austria
10,ILM-EKF,inc case,2,AT,1.25,1.24,0.4,0.9,0.02,10,1,Austria
10,USC-SIkJalpha,inc case,2,AT,1.89,1.76,0.11,0.33,0.03,9,1,Austria
10,EuroCOVIDhub-baseline,inc case,1,AT,1,1,0.2,1,0.11,10,1,Austria
10,EuroCOVIDhub-ensemble,inc case,1,AT,0.69,0.65,0.56,1,-0.09,9,1,Austria
10,ILM-EKF,inc case,1,AT,1.03,1.04,0.6,0.8,-0.01,10,1,Austria
10,SDSC_ISG-TrendModel,inc case,1,AT,1.05,1,0.8,1,-0.19,10,1,Austria
10,USC-SIkJalpha,inc case,1,AT,4.04,3.23,0.22,0.56,0,9,1,Austria
10,EuroCOVIDhub-baseline,inc death,4,AT,1,1,1,1,-0.05,10,1,Austria
10,ILM-EKF,inc death,4,AT,1.07,0.8,0.6,1,-0.35,10,1,Austria
10,EuroCOVIDhub-baseline,inc death,3,AT,1,1,1,1,-0.04,10,1,Austria
10,ILM-EKF,inc death,3,AT,1.06,0.81,0.8,1,-0.31,10,1,Austria
10,EuroCOVIDhub-baseline,inc death,2,AT,1,1,1,1,-0.05,10,1,Austria
10,ILM-EKF,inc death,2,AT,1.13,0.95,0.9,1,-0.21,10,1,Austria
10,USC-SIkJalpha,inc death,2,AT,1.16,1.04,0.44,0.67,-0.53,9,1,Austria
10,EuroCOVIDhub-baseline,inc death,1,AT,1,1,0.3,1,-0.06,10,1,Austria
10,ILM-EKF,inc death,1,AT,0.73,0.79,0.8,1,-0.16,10,1,Austria
10,SDSC_ISG-TrendModel,inc death,1,AT,1.25,1.35,0.3,0.7,-0.28,10,1,Austria
10,USC-SIkJalpha,inc death,1,AT,0.8,0.94,0.22,0.56,-0.26,9,1,Austria
10,AMM-EpiInvert,inc case,4,BE,1.68,1.37,0.1,0.7,0.07,10,1,Belgium
10,EuroCOVIDhub-baseline,inc case,4,BE,1,1,1,1,0.03,10,1,Belgium
10,ILM-EKF,inc case,4,BE,2.42,2.19,0.1,0.2,-0.1,10,1,Belgium
10,AMM-EpiInvert,inc case,3,BE,1.25,1.03,0.2,0.7,0.16,10,1,Belgium
10,EuroCOVIDhub-baseline,inc case,3,BE,1,1,0.9,1,0.01,10,1,Belgium
10,ILM-EKF,inc case,3,BE,2.32,2.18,0.2,0.3,0.01,10,1,Belgium
10,EuroCOVIDhub-baseline,inc case,2,BE,1,1,0.8,1,-0.03,10,1,Belgium
10,EuroCOVIDhub-ensemble,inc case,2,BE,0.98,0.98,0.22,0.67,0.04,9,1,Belgium
10,ILM-EKF,inc case,2,BE,2.25,2.35,0.2,0.3,0.02,10,1,Belgium
10,USC-SIkJalpha,inc case,2,BE,1.14,1.23,0,0.44,-0.06,9,1,Belgium
10,EuroCOVIDhub-baseline,inc case,1,BE,1,1,0.7,1,0.01,10,1,Belgium
10,EuroCOVIDhub-ensemble,inc case,1,BE,0.7,0.74,0.33,0.78,0,9,1,Belgium
10,ILM-EKF,inc case,1,BE,1.96,2.18,0.1,0.5,0.23,10,1,Belgium
10,Karlen-pypm,inc case,1,BE,0.57,0.52,0.25,0.75,0.24,8,1,Belgium
10,SDSC_ISG-TrendModel,inc case,1,BE,1.22,1.39,0.1,0.3,-0.55,10,1,Belgium
10,USC-SIkJalpha,inc case,1,BE,0.89,0.95,0.11,0.44,-0.09,9,1,Belgium
10,EuroCOVIDhub-baseline,inc death,4,BE,1,1,0.8,1,-0.05,10,1,Belgium
10,ILM-EKF,inc death,4,BE,2.06,1.87,0.1,0.8,-0.22,10,1,Belgium
10,EuroCOVIDhub-baseline,inc death,3,BE,1,1,0.8,1,-0.01,10,1,Belgium
10,ILM-EKF,inc death,3,BE,1.64,1.7,0.2,0.7,-0.13,10,1,Belgium
10,EuroCOVIDhub-baseline,inc death,2,BE,1,1,0.4,1,0.02,10,1,Belgium
10,ILM-EKF,inc death,2,BE,1.39,1.58,0.1,0.5,0.03,10,1,Belgium
10,EuroCOVIDhub-baseline,inc death,1,BE,1,1,0.4,1,0.11,10,1,Belgium
10,EuroCOVIDhub-ensemble,inc death,1,BE,0.56,0.48,0.29,1,0.33,7,1,Belgium
10,ILM-EKF,inc death,1,BE,1.36,1.35,0.4,0.7,0.22,10,1,Belgium
10,Karlen-pypm,inc death,1,BE,0.32,0.28,0.38,1,0.21,8,1,Belgium
10,SDSC_ISG-TrendModel,inc death,1,BE,0.92,1.23,0.3,0.4,-0.71,10,1,Belgium
10,USC-SIkJalpha,inc death,1,BE,0.92,0.97,0.14,0.29,0.29,7,1,Belgium
10,AMM-EpiInvert,inc case,4,BG,0.9,0.44,0.4,0.9,0.17,10,1,Bulgaria
10,EuroCOVIDhub-baseline,inc case,4,BG,1,1,1,1,0.15,10,1,Bulgaria
10,ILM-EKF,inc case,4,BG,0.68,0.29,0.4,1,-0.18,10,1,Bulgaria
10,AMM-EpiInvert,inc case,3,BG,1.28,0.47,0.2,0.9,0.07,10,1,Bulgaria
10,EuroCOVIDhub-baseline,inc case,3,BG,1,1,1,1,0.15,10,1,Bulgaria
10,ILM-EKF,inc case,3,BG,0.92,0.32,0.4,1,-0.17,10,1,Bulgaria
10,EuroCOVIDhub-baseline,inc case,2,BG,1,1,1,1,0.12,10,1,Bulgaria
10,EuroCOVIDhub-ensemble,inc case,2,BG,0.77,0.33,0.22,1,0.22,9,1,Bulgaria
10,ILM-EKF,inc case,2,BG,1.04,0.39,0.5,1,-0.11,10,1,Bulgaria
10,USC-SIkJalpha,inc case,2,BG,0.5,0.25,0.11,0.44,-0.04,9,1,Bulgaria
10,EuroCOVIDhub-baseline,inc case,1,BG,1,1,1,1,0.18,10,1,Bulgaria
10,EuroCOVIDhub-ensemble,inc case,1,BG,0.68,0.34,0.44,1,0.03,9,1,Bulgaria
10,ILM-EKF,inc case,1,BG,1.22,0.54,0.4,1,-0.06,10,1,Bulgaria
10,SDSC_ISG-TrendModel,inc case,1,BG,0.92,0.41,0.6,1,-0.17,10,1,Bulgaria
10,USC-SIkJalpha,inc case,1,BG,0.87,0.43,0.33,0.78,-0.16,9,1,Bulgaria
10,EuroCOVIDhub-baseline,inc death,4,BG,1,1,1,1,0.11,10,1,Bulgaria
10,ILM-EKF,inc death,4,BG,0.47,0.22,0.7,1,-0.19,10,1,Bulgaria
10,EuroCOVIDhub-baseline,inc death,3,BG,1,1,1,1,0.08,10,1,Bulgaria
10,ILM-EKF,inc death,3,BG,0.55,0.26,0.8,1,-0.13,10,1,Bulgaria
10,EuroCOVIDhub-baseline,inc death,2,BG,1,1,1,1,0.11,10,1,Bulgaria
10,ILM-EKF,inc death,2,BG,0.71,0.32,1,1,-0.08,10,1,Bulgaria
10,USC-SIkJalpha,inc death,2,BG,0.85,0.3,0.33,0.44,-0.26,9,1,Bulgaria
10,EuroCOVIDhub-baseline,inc death,1,BG,1,1,1,1,0.06,10,1,Bulgaria
10,ILM-EKF,inc death,1,BG,0.73,0.57,1,1,-0.03,10,1,Bulgaria
10,SDSC_ISG-TrendModel,inc death,1,BG,1.2,0.71,0.7,0.9,0.13,10,1,Bulgaria
10,USC-SIkJalpha,inc death,1,BG,0.97,0.61,0.33,0.56,-0.03,9,1,Bulgaria
10,AMM-EpiInvert,inc case,4,CH,1.06,1.1,0.4,0.7,0.43,10,1,Switzerland
10,EuroCOVIDhub-baseline,inc case,4,CH,1,1,0.6,1,0.42,10,1,Switzerland
10,ILM-EKF,inc case,4,CH,0.82,0.81,0.4,0.7,0.29,10,1,Switzerland
10,AMM-EpiInvert,inc case,3,CH,1.01,1.01,0.3,0.6,0.4,10,1,Switzerland
10,EuroCOVIDhub-baseline,inc case,3,CH,1,1,0.7,1,0.39,10,1,Switzerland
10,ILM-EKF,inc case,3,CH,0.76,0.72,0.4,0.5,0.32,10,1,Switzerland
10,EuroCOVIDhub-baseline,inc case,2,CH,1,1,0.8,1,0.41,10,1,Switzerland
10,EuroCOVIDhub-ensemble,inc case,2,CH,0.82,0.73,0.56,0.78,0.53,9,1,Switzerland
10,ILM-EKF,inc case,2,CH,0.63,0.64,0.5,0.5,0.4,10,1,Switzerland
10,USC-SIkJalpha,inc case,2,CH,0.93,1.04,0.11,0.44,0.63,9,1,Switzerland
10,EuroCOVIDhub-baseline,inc case,1,CH,1,1,0.5,1,0.39,10,1,Switzerland
10,EuroCOVIDhub-ensemble,inc case,1,CH,0.91,0.89,0.56,0.56,0.39,9,1,Switzerland
10,ILM-EKF,inc case,1,CH,0.7,0.74,0.6,0.6,0.26,10,1,Switzerland
10,Karlen-pypm,inc case,1,CH,1.39,1.45,0.38,0.5,0.65,8,1,Switzerland
10,SDSC_ISG-TrendModel,inc case,1,CH,3.94,5,0.1,0.1,-0.89,10,1,Switzerland
10,USC-SIkJalpha,inc case,1,CH,0.84,0.95,0.11,0.33,0.6,9,1,Switzerland
10,EuroCOVIDhub-baseline,inc death,4,CH,1,1,1,1,-0,10,1,Switzerland
10,ILM-EKF,inc death,4,CH,0.77,0.51,0.7,1,-0.04,10,1,Switzerland
10,EuroCOVIDhub-baseline,inc death,3,CH,1,1,0.8,1,0.04,10,1,Switzerland
10,ILM-EKF,inc death,3,CH,0.66,0.72,0.7,1,-0.02,10,1,Switzerland
10,EuroCOVIDhub-baseline,inc death,2,CH,1,1,0.7,1,0.1,10,1,Switzerland
10,EuroCOVIDhub-ensemble,inc death,2,CH,0.44,0.46,0.44,0.89,0.18,9,1,Switzerland
10,ILM-EKF,inc death,2,CH,0.63,0.84,0.6,0.9,0.01,10,1,Switzerland
10,USC-SIkJalpha,inc death,2,CH,0.45,0.56,0.44,0.78,0.32,9,1,Switzerland
10,EuroCOVIDhub-baseline,inc death,1,CH,1,1,0.4,1,0.07,10,1,Switzerland
10,EuroCOVIDhub-ensemble,inc death,1,CH,0.54,0.6,0.33,0.89,0.1,9,1,Switzerland
10,ILM-EKF,inc death,1,CH,0.83,1.08,0.5,0.8,0.09,10,1,Switzerland
10,Karlen-pypm,inc death,1,CH,0.51,0.6,0.38,0.62,0.24,8,1,Switzerland
10,SDSC_ISG-TrendModel,inc death,1,CH,0.74,0.89,0.3,0.6,-0.31,10,1,Switzerland
10,AMM-EpiInvert,inc case,4,CY,1.69,1.28,0.62,1,0.24,8,1,Cyprus
10,EuroCOVIDhub-baseline,inc case,4,CY,1,1,0.9,1,0.21,10,1,Cyprus
10,ILM-EKF,inc case,4,CY,1.56,1.08,0.6,1,0.31,10,1,Cyprus
10,AMM-EpiInvert,inc case,3,CY,1.45,1.19,0.5,0.88,0.22,8,1,Cyprus
10,EuroCOVIDhub-baseline,inc case,3,CY,1,1,0.8,1,0.16,10,1,Cyprus
10,ILM-EKF,inc case,3,CY,1.54,1.1,0.5,1,0.31,10,1,Cyprus
10,EuroCOVIDhub-baseline,inc case,2,CY,1,1,0.4,1,0.27,10,1,Cyprus
10,EuroCOVIDhub-ensemble,inc case,2,CY,1,0.84,0.22,1,0.44,9,1,Cyprus
10,ILM-EKF,inc case,2,CY,1.33,1.11,0.1,0.9,0.4,10,1,Cyprus
10,USC-SIkJalpha,inc case,2,CY,1.28,1.68,0,0.11,0.77,9,1,Cyprus
10,EuroCOVIDhub-baseline,inc case,1,CY,1,1,0.3,1,0.47,10,1,Cyprus
10,EuroCOVIDhub-ensemble,inc case,1,CY,0.99,0.77,0.33,1,0.34,9,1,Cyprus
10,ILM-EKF,inc case,1,CY,1.46,1.16,0.2,1,0.38,10,1,Cyprus
10,SDSC_ISG-TrendModel,inc case,1,CY,0.64,1.02,0.9,1,0.03,10,1,Cyprus
10,USC-SIkJalpha,inc case,1,CY,1.08,1.32,0,0.22,0.56,9,1,Cyprus
10,EuroCOVIDhub-baseline,inc death,4,CY,1,1,1,1,0.01,10,1,Cyprus
10,ILM-EKF,inc death,4,CY,1.35,1.23,0.7,1,0.09,10,1,Cyprus
10,EuroCOVIDhub-baseline,inc death,3,CY,1,1,0.9,1,0.04,10,1,Cyprus
