weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc,location_name
10,EuroCOVIDhub-baseline,inc case,1,Overall,1,1,1,0.8,1,0.17,254,30,NA
10,EuroCOVIDhub-ensemble,inc case,1,Overall,0.79,0.65,0.65,0.69,0.98,0.15,254,30,NA
10,epiforecasts-EpiNow2,inc case,1,Overall,1.19,0.87,0.82,0.41,0.85,0.12,197,30,NA
10,epiforecasts-tsensemble,inc case,1,Overall,1.07,0.82,0.81,0.35,0.77,0.33,195,29,NA
10,epiforecasts-weeklygrowth,inc case,1,Overall,0.7,0.58,0.56,0.68,0.98,0.13,194,30,NA
10,fjordhest-ensemble,inc case,1,Overall,1,0.82,0.91,0.59,0.92,0.18,148,22,NA
10,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,1,0.92,1,0.14,226,30,NA
10,EuroCOVIDhub-ensemble,inc case,2,Overall,0.78,0.62,0.66,0.74,0.98,0.17,226,30,NA
10,epiforecasts-EpiNow2,inc case,2,Overall,1.2,0.87,0.79,0.39,0.78,0.16,169,30,NA
10,epiforecasts-tsensemble,inc case,2,Overall,1.06,0.76,0.73,0.4,0.75,0.37,171,29,NA
10,epiforecasts-weeklygrowth,inc case,2,Overall,0.75,0.58,0.55,0.71,0.99,0.14,166,29,NA
10,fjordhest-ensemble,inc case,2,Overall,0.9,0.72,0.82,0.59,0.92,0.2,129,22,NA
10,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,1,0.93,1,0.13,198,30,NA
10,EuroCOVIDhub-ensemble,inc case,3,Overall,0.79,0.62,0.67,0.72,0.97,0.18,198,30,NA
10,epiforecasts-EpiNow2,inc case,3,Overall,1.26,0.92,0.82,0.41,0.75,0.18,142,30,NA
10,epiforecasts-tsensemble,inc case,3,Overall,1.07,0.75,0.71,0.36,0.73,0.38,143,29,NA
10,epiforecasts-weeklygrowth,inc case,3,Overall,0.77,0.61,0.57,0.69,0.99,0.13,139,29,NA
10,fjordhest-ensemble,inc case,3,Overall,0.9,0.69,0.8,0.61,0.91,0.19,110,22,NA
10,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,1,0.94,1,0.13,168,30,NA
10,EuroCOVIDhub-ensemble,inc case,4,Overall,0.82,0.62,0.69,0.7,0.96,0.22,168,30,NA
10,epiforecasts-EpiNow2,inc case,4,Overall,1.35,0.91,0.8,0.35,0.71,0.18,113,30,NA
10,epiforecasts-tsensemble,inc case,4,Overall,1.15,0.74,0.69,0.35,0.71,0.44,114,29,NA
10,epiforecasts-weeklygrowth,inc case,4,Overall,0.82,0.64,0.59,0.68,0.98,0.17,111,29,NA
10,fjordhest-ensemble,inc case,4,Overall,0.9,0.66,0.78,0.64,0.91,0.22,90,22,NA
10,EuroCOVIDhub-baseline,inc death,1,Overall,1,1,1,0.85,1,0.02,186,27,NA
10,EuroCOVIDhub-ensemble,inc death,1,Overall,1.13,0.87,0.88,0.75,0.98,-0.05,186,27,NA
10,fjordhest-ensemble,inc death,1,Overall,1.42,1.15,1.14,0.45,0.83,-0.17,117,19,NA
10,EuroCOVIDhub-baseline,inc death,2,Overall,1,1,1,0.92,1,0.02,165,27,NA
10,EuroCOVIDhub-ensemble,inc death,2,Overall,1.05,0.8,0.82,0.82,0.99,-0.04,165,27,NA
10,fjordhest-ensemble,inc death,2,Overall,1.36,0.96,0.93,0.46,0.86,-0.17,102,19,NA
10,EuroCOVIDhub-baseline,inc death,3,Overall,1,1,1,0.96,1,0.02,143,26,NA
10,EuroCOVIDhub-ensemble,inc death,3,Overall,1.11,0.78,0.81,0.83,1,-0.02,143,26,NA
10,fjordhest-ensemble,inc death,3,Overall,1.38,0.9,0.87,0.47,0.87,-0.16,87,19,NA
10,EuroCOVIDhub-baseline,inc death,4,Overall,1,1,1,0.96,1,0.01,117,26,NA
10,EuroCOVIDhub-ensemble,inc death,4,Overall,1.05,0.75,0.77,0.86,0.99,0.01,117,26,NA
10,fjordhest-ensemble,inc death,4,Overall,1.39,0.88,0.85,0.49,0.88,-0.14,69,19,NA
10,EuroCOVIDhub-baseline,inc hosp,3,Overall,1,1,1,0.66,0.98,0.14,129,14,NA
10,EuroCOVIDhub-ensemble,inc hosp,3,Overall,0.83,0.75,0.76,0.57,0.97,0.19,116,14,NA
10,epiforecasts-EpiNow2,inc hosp,3,Overall,0.71,0.73,0.73,0.44,0.8,0.19,81,14,NA
10,epiforecasts-tsensemble,inc hosp,3,Overall,1.01,0.92,0.91,0.41,0.84,0.21,111,14,NA
10,epiforecasts-weeklygrowth,inc hosp,3,Overall,0.77,0.79,0.78,0.67,1,0.16,81,14,NA
10,EuroCOVIDhub-baseline,inc hosp,2,Overall,1,1,1,0.67,0.99,0.15,131,14,NA
10,EuroCOVIDhub-ensemble,inc hosp,2,Overall,0.87,0.78,0.79,0.59,0.98,0.15,130,14,NA
10,epiforecasts-EpiNow2,inc hosp,2,Overall,0.68,0.71,0.71,0.6,0.86,0.1,95,14,NA
10,epiforecasts-tsensemble,inc hosp,2,Overall,1.05,0.93,0.93,0.4,0.82,0.18,125,14,NA
10,epiforecasts-weeklygrowth,inc hosp,2,Overall,0.77,0.74,0.74,0.72,1,0.13,95,14,NA
10,EuroCOVIDhub-baseline,inc hosp,1,Overall,1,1,1,0.59,0.99,0.16,132,14,NA
10,EuroCOVIDhub-ensemble,inc hosp,1,Overall,0.83,0.8,0.8,0.58,0.98,0.12,132,14,NA
10,epiforecasts-EpiNow2,inc hosp,1,Overall,0.83,0.83,0.83,0.53,0.91,0.04,109,14,NA
10,epiforecasts-tsensemble,inc hosp,1,Overall,1.05,0.96,0.96,0.42,0.83,0.2,125,14,NA
10,EuroCOVIDhub-baseline,inc hosp,4,Overall,1,1,1,0.7,1,0.17,115,14,NA
10,EuroCOVIDhub-ensemble,inc hosp,4,Overall,0.81,0.72,0.74,0.59,0.98,0.21,102,14,NA
10,epiforecasts-EpiNow2,inc hosp,4,Overall,0.67,0.7,0.7,0.46,0.82,0.23,68,14,NA
10,epiforecasts-tsensemble,inc hosp,4,Overall,1.04,0.93,0.91,0.36,0.84,0.23,98,14,NA
10,epiforecasts-weeklygrowth,inc hosp,4,Overall,0.77,0.82,0.82,0.65,1,0.17,68,14,NA
10,EuroCOVIDhub-baseline,inc case,1,AT,1,1,1,0.33,1,0.71,9,1,Austria
10,EuroCOVIDhub-ensemble,inc case,1,AT,0.72,0.73,0.76,0.44,1,0.58,9,1,Austria
10,epiforecasts-tsensemble,inc case,1,AT,0.88,0.95,0.94,0.57,0.57,0.33,7,1,Austria
10,epiforecasts-weeklygrowth,inc case,1,AT,0.58,0.57,0.56,0.43,1,0.57,7,1,Austria
10,fjordhest-ensemble,inc case,1,AT,0.82,0.74,0.72,0.38,0.88,0.46,8,1,Austria
10,EuroCOVIDhub-baseline,inc case,2,AT,1,1,1,0.38,1,0.65,8,1,Austria
10,EuroCOVIDhub-ensemble,inc case,2,AT,0.77,0.78,0.8,0.38,1,0.64,8,1,Austria
10,epiforecasts-tsensemble,inc case,2,AT,0.94,1,1.01,0.5,0.5,0.4,6,1,Austria
10,epiforecasts-weeklygrowth,inc case,2,AT,0.55,0.59,0.59,0.5,1,0.57,6,1,Austria
10,fjordhest-ensemble,inc case,2,AT,0.9,0.87,0.83,0.14,0.86,0.61,7,1,Austria
10,EuroCOVIDhub-baseline,inc case,3,AT,1,1,1,0.29,1,0.64,7,1,Austria
10,EuroCOVIDhub-ensemble,inc case,3,AT,0.8,0.82,0.84,0.29,1,0.69,7,1,Austria
10,epiforecasts-tsensemble,inc case,3,AT,0.91,1.04,1.05,0.4,0.4,0.48,5,1,Austria
10,epiforecasts-weeklygrowth,inc case,3,AT,0.55,0.63,0.63,0.4,1,0.6,5,1,Austria
10,fjordhest-ensemble,inc case,3,AT,0.85,0.92,0.88,0.17,0.83,0.68,6,1,Austria
10,EuroCOVIDhub-baseline,inc case,4,AT,1,1,1,0.17,1,0.65,6,1,Austria
10,EuroCOVIDhub-ensemble,inc case,4,AT,0.87,0.88,0.9,0.17,1,0.73,6,1,Austria
10,epiforecasts-tsensemble,inc case,4,AT,1.01,1.15,1.16,0.25,0.25,0.68,4,1,Austria
10,epiforecasts-weeklygrowth,inc case,4,AT,0.57,0.68,0.69,0.25,1,0.68,4,1,Austria
10,fjordhest-ensemble,inc case,4,AT,0.81,0.95,0.91,0.4,0.8,0.7,5,1,Austria
10,EuroCOVIDhub-baseline,inc death,1,AT,1,1,1,1,1,0.21,8,1,Austria
10,EuroCOVIDhub-ensemble,inc death,1,AT,0.66,0.68,0.69,0.88,1,0.06,8,1,Austria
10,fjordhest-ensemble,inc death,1,AT,0.74,0.52,0.51,0.57,1,-0.41,7,1,Austria
10,EuroCOVIDhub-baseline,inc death,2,AT,1,1,1,1,1,0.21,7,1,Austria
10,EuroCOVIDhub-ensemble,inc death,2,AT,0.58,0.66,0.68,1,1,0.09,7,1,Austria
10,fjordhest-ensemble,inc death,2,AT,0.53,0.45,0.44,0.67,1,-0.13,6,1,Austria
10,EuroCOVIDhub-baseline,inc death,3,AT,1,1,1,1,1,0.23,6,1,Austria
10,EuroCOVIDhub-ensemble,inc death,3,AT,0.56,0.63,0.65,1,1,0.13,6,1,Austria
10,fjordhest-ensemble,inc death,3,AT,0.24,0.26,0.25,1,1,-0.16,5,1,Austria
