"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-06-01,"0 wk ahead inc death",2020-05-30,"GM","Germany","observed",NA,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","point",NA,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.01,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.025,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.05,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.1,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.15,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.2,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.25,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.3,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.35,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.4,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.45,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.5,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.55,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.6,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.65,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.7,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.75,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.8,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.85,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.9,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.95,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.975,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.99,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","point",NA,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.01,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.025,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.05,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.1,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.15,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.2,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.25,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.3,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.35,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.4,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.45,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.5,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.55,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.6,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.65,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.7,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.75,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.8,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.85,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.9,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.95,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.975,NA
2020-06-01,"2 wk ahead inc death",2020-06-13,"GM","Germany","quantile",0.99,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","point",NA,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.01,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.025,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.05,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.1,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.15,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.2,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.25,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.3,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.35,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.4,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.45,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.5,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.55,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.6,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.65,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.7,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.75,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.8,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.85,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.9,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.95,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.975,NA
2020-06-01,"3 wk ahead inc death",2020-06-20,"GM","Germany","quantile",0.99,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","point",NA,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.01,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.025,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.05,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.1,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.15,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.2,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.25,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.3,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.35,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.4,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.45,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.5,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.55,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.6,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.65,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.7,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.75,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.8,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.85,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.9,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.95,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.975,NA
2020-06-01,"4 wk ahead inc death",2020-06-27,"GM","Germany","quantile",0.99,NA
2020-06-01,"-1 wk ahead inc death",2020-05-23,"GM","Germany","observed",NA,NA
2020-06-01,"0 wk ahead inc death",2020-05-30,"GM","Germany","observed",NA,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","point",NA,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.01,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.025,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.05,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.1,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.15,NA
2020-06-01,"1 wk ahead inc death",2020-06-06,"GM","Germany","quantile",0.2,NA
