location,location_name,epi_year,epi_week,date,inc_case,inc_death,inc_hosp
CZ,Czechia,2020,1,2020-01-04,NA,NA,0
LV,Latvia,2020,1,2020-01-04,NA,NA,0
CH,Switzerland,2020,2,2020-01-11,NA,NA,0
CZ,Czechia,2020,2,2020-01-11,NA,NA,0
LV,Latvia,2020,2,2020-01-11,NA,NA,0
CH,Switzerland,2020,3,2020-01-18,NA,NA,0
CZ,Czechia,2020,3,2020-01-18,NA,NA,0
LV,Latvia,2020,3,2020-01-18,NA,NA,0
AT,Austria,2020,4,2020-01-25,0,0,NA
BE,Belgium,2020,4,2020-01-25,0,0,NA
BG,Bulgaria,2020,4,2020-01-25,0,0,NA
CH,Switzerland,2020,4,2020-01-25,0,0,0
CY,Cyprus,2020,4,2020-01-25,0,0,NA
CZ,Czechia,2020,4,2020-01-25,0,0,0
DE,Germany,2020,4,2020-01-25,0,0,NA
DK,Denmark,2020,4,2020-01-25,0,0,NA
EE,Estonia,2020,4,2020-01-25,0,0,NA
ES,Spain,2020,4,2020-01-25,0,0,NA
FI,Finland,2020,4,2020-01-25,0,0,NA
FR,France,2020,4,2020-01-25,3,0,NA
GB,United Kingdom,2020,4,2020-01-25,0,0,NA
GR,Greece,2020,4,2020-01-25,0,0,NA
HR,Croatia,2020,4,2020-01-25,0,0,NA
HU,Hungary,2020,4,2020-01-25,0,0,NA
IE,Ireland,2020,4,2020-01-25,0,0,NA
IS,Iceland,2020,4,2020-01-25,0,0,NA
IT,Italy,2020,4,2020-01-25,0,0,NA
LI,Liechtenstein,2020,4,2020-01-25,0,0,NA
LT,Lithuania,2020,4,2020-01-25,0,0,NA
LU,Luxembourg,2020,4,2020-01-25,0,0,NA
LV,Latvia,2020,4,2020-01-25,0,0,0
MT,Malta,2020,4,2020-01-25,0,0,NA
NL,Netherlands,2020,4,2020-01-25,0,0,NA
NO,Norway,2020,4,2020-01-25,0,0,NA
PL,Poland,2020,4,2020-01-25,0,0,NA
PT,Portugal,2020,4,2020-01-25,0,0,NA
RO,Romania,2020,4,2020-01-25,0,0,NA
SE,Sweden,2020,4,2020-01-25,0,0,NA
SI,Slovenia,2020,4,2020-01-25,0,0,NA
SK,Slovakia,2020,4,2020-01-25,0,0,NA
AT,Austria,2020,5,2020-02-01,0,0,NA
BE,Belgium,2020,5,2020-02-01,0,0,NA
BG,Bulgaria,2020,5,2020-02-01,0,0,NA
CH,Switzerland,2020,5,2020-02-01,0,0,0
CY,Cyprus,2020,5,2020-02-01,0,0,NA
CZ,Czechia,2020,5,2020-02-01,0,0,0
DE,Germany,2020,5,2020-02-01,8,0,NA
DK,Denmark,2020,5,2020-02-01,0,0,NA
EE,Estonia,2020,5,2020-02-01,0,0,NA
ES,Spain,2020,5,2020-02-01,1,0,NA
FI,Finland,2020,5,2020-02-01,1,0,NA
FR,France,2020,5,2020-02-01,3,0,NA
GB,United Kingdom,2020,5,2020-02-01,2,0,NA
GR,Greece,2020,5,2020-02-01,0,0,NA
HR,Croatia,2020,5,2020-02-01,0,0,NA
HU,Hungary,2020,5,2020-02-01,0,0,NA
IE,Ireland,2020,5,2020-02-01,0,0,NA
IS,Iceland,2020,5,2020-02-01,0,0,NA
IT,Italy,2020,5,2020-02-01,2,0,NA
LI,Liechtenstein,2020,5,2020-02-01,0,0,NA
LT,Lithuania,2020,5,2020-02-01,0,0,NA
LU,Luxembourg,2020,5,2020-02-01,0,0,NA
LV,Latvia,2020,5,2020-02-01,0,0,0
MT,Malta,2020,5,2020-02-01,0,0,NA
NL,Netherlands,2020,5,2020-02-01,0,0,NA
NO,Norway,2020,5,2020-02-01,0,0,NA
PL,Poland,2020,5,2020-02-01,0,0,NA
PT,Portugal,2020,5,2020-02-01,0,0,NA
RO,Romania,2020,5,2020-02-01,0,0,NA
SE,Sweden,2020,5,2020-02-01,1,0,NA
SI,Slovenia,2020,5,2020-02-01,0,0,NA
SK,Slovakia,2020,5,2020-02-01,0,0,NA
AT,Austria,2020,6,2020-02-08,0,0,NA
BE,Belgium,2020,6,2020-02-08,1,0,NA
BG,Bulgaria,2020,6,2020-02-08,0,0,NA
CH,Switzerland,2020,6,2020-02-08,0,0,0
CY,Cyprus,2020,6,2020-02-08,0,0,NA
CZ,Czechia,2020,6,2020-02-08,0,0,0
DE,Germany,2020,6,2020-02-08,5,0,NA
DK,Denmark,2020,6,2020-02-08,0,0,NA
EE,Estonia,2020,6,2020-02-08,0,0,NA
ES,Spain,2020,6,2020-02-08,0,0,NA
FI,Finland,2020,6,2020-02-08,0,0,NA
FR,France,2020,6,2020-02-08,5,0,NA
GB,United Kingdom,2020,6,2020-02-08,11,0,NA
GR,Greece,2020,6,2020-02-08,0,0,NA
HR,Croatia,2020,6,2020-02-08,0,0,NA
HU,Hungary,2020,6,2020-02-08,0,0,NA
IE,Ireland,2020,6,2020-02-08,0,0,NA
IS,Iceland,2020,6,2020-02-08,0,0,0
IT,Italy,2020,6,2020-02-08,1,0,NA
LI,Liechtenstein,2020,6,2020-02-08,0,0,NA
LT,Lithuania,2020,6,2020-02-08,0,0,NA
LU,Luxembourg,2020,6,2020-02-08,0,0,NA
LV,Latvia,2020,6,2020-02-08,0,0,0
MT,Malta,2020,6,2020-02-08,0,0,NA
NL,Netherlands,2020,6,2020-02-08,0,0,NA
NO,Norway,2020,6,2020-02-08,0,0,NA
PL,Poland,2020,6,2020-02-08,0,0,NA
PT,Portugal,2020,6,2020-02-08,0,0,NA
RO,Romania,2020,6,2020-02-08,0,0,NA
SE,Sweden,2020,6,2020-02-08,0,0,NA
SI,Slovenia,2020,6,2020-02-08,0,0,NA
SK,Slovakia,2020,6,2020-02-08,0,0,NA
AT,Austria,2020,7,2020-02-15,0,0,NA
BE,Belgium,2020,7,2020-02-15,0,0,NA
BG,Bulgaria,2020,7,2020-02-15,0,0,NA
CH,Switzerland,2020,7,2020-02-15,0,0,0
CY,Cyprus,2020,7,2020-02-15,0,0,NA
CZ,Czechia,2020,7,2020-02-15,0,0,0
DE,Germany,2020,7,2020-02-15,3,0,NA
DK,Denmark,2020,7,2020-02-15,0,0,NA
EE,Estonia,2020,7,2020-02-15,0,0,NA
ES,Spain,2020,7,2020-02-15,1,0,NA
FI,Finland,2020,7,2020-02-15,0,0,NA
FR,France,2020,7,2020-02-15,1,1,NA
GB,United Kingdom,2020,7,2020-02-15,5,0,NA
GR,Greece,2020,7,2020-02-15,0,0,NA
HR,Croatia,2020,7,2020-02-15,0,0,NA
HU,Hungary,2020,7,2020-02-15,0,0,NA
IE,Ireland,2020,7,2020-02-15,0,0,NA
IS,Iceland,2020,7,2020-02-15,0,0,NA
IT,Italy,2020,7,2020-02-15,0,0,NA
LI,Liechtenstein,2020,7,2020-02-15,0,0,NA
LT,Lithuania,2020,7,2020-02-15,0,0,NA
LU,Luxembourg,2020,7,2020-02-15,0,0,NA
LV,Latvia,2020,7,2020-02-15,0,0,0
MT,Malta,2020,7,2020-02-15,0,0,NA
NL,Netherlands,2020,7,2020-02-15,0,0,NA
NO,Norway,2020,7,2020-02-15,0,0,NA
PL,Poland,2020,7,2020-02-15,0,0,NA
PT,Portugal,2020,7,2020-02-15,0,0,19
RO,Romania,2020,7,2020-02-15,0,0,NA
SE,Sweden,2020,7,2020-02-15,0,0,NA
SI,Slovenia,2020,7,2020-02-15,0,0,NA
SK,Slovakia,2020,7,2020-02-15,0,0,NA
AT,Austria,2020,8,2020-02-22,0,0,NA
BE,Belgium,2020,8,2020-02-22,0,0,NA
BG,Bulgaria,2020,8,2020-02-22,0,0,NA
CH,Switzerland,2020,8,2020-02-22,0,0,0
CY,Cyprus,2020,8,2020-02-22,0,0,NA
CZ,Czechia,2020,8,2020-02-22,0,0,0
DE,Germany,2020,8,2020-02-22,0,0,NA
DK,Denmark,2020,8,2020-02-22,0,0,NA
EE,Estonia,2020,8,2020-02-22,0,0,NA
ES,Spain,2020,8,2020-02-22,0,0,NA
FI,Finland,2020,8,2020-02-22,0,0,NA
FR,France,2020,8,2020-02-22,0,0,NA
GB,United Kingdom,2020,8,2020-02-22,5,0,NA
GR,Greece,2020,8,2020-02-22,0,0,NA
HR,Croatia,2020,8,2020-02-22,0,0,NA
HU,Hungary,2020,8,2020-02-22,0,0,NA
IE,Ireland,2020,8,2020-02-22,0,0,NA
IS,Iceland,2020,8,2020-02-22,0,0,NA
IT,Italy,2020,8,2020-02-22,59,2,479
LI,Liechtenstein,2020,8,2020-02-22,0,0,NA
LT,Lithuania,2020,8,2020-02-22,0,0,NA
LU,Luxembourg,2020,8,2020-02-22,0,0,NA
LV,Latvia,2020,8,2020-02-22,0,0,0
MT,Malta,2020,8,2020-02-22,0,0,NA
NL,Netherlands,2020,8,2020-02-22,0,0,18
NO,Norway,2020,8,2020-02-22,0,0,NA
PL,Poland,2020,8,2020-02-22,0,0,NA
PT,Portugal,2020,8,2020-02-22,0,0,NA
RO,Romania,2020,8,2020-02-22,0,0,NA
SE,Sweden,2020,8,2020-02-22,0,0,NA
SI,Slovenia,2020,8,2020-02-22,0,0,NA
SK,Slovakia,2020,8,2020-02-22,0,0,NA
AT,Austria,2020,9,2020-02-29,9,0,NA
BE,Belgium,2020,9,2020-02-29,0,0,NA
BG,Bulgaria,2020,9,2020-02-29,0,0,NA
CH,Switzerland,2020,9,2020-02-29,18,0,9
CY,Cyprus,2020,9,2020-02-29,0,0,NA
CZ,Czechia,2020,9,2020-02-29,0,0,0
DE,Germany,2020,9,2020-02-29,63,0,NA
DK,Denmark,2020,9,2020-02-29,3,0,NA
EE,Estonia,2020,9,2020-02-29,1,0,NA
ES,Spain,2020,9,2020-02-29,43,0,NA
FI,Finland,2020,9,2020-02-29,2,0,NA
FR,France,2020,9,2020-02-29,88,1,NA
GB,United Kingdom,2020,9,2020-02-29,38,0,NA
GR,Greece,2020,9,2020-02-29,4,0,NA
HR,Croatia,2020,9,2020-02-29,6,0,NA
HU,Hungary,2020,9,2020-02-29,0,0,NA
IE,Ireland,2020,9,2020-02-29,1,0,NA
IS,Iceland,2020,9,2020-02-29,1,0,NA
IT,Italy,2020,9,2020-02-29,1066,27,2278
LI,Liechtenstein,2020,9,2020-02-29,0,0,NA
LT,Lithuania,2020,9,2020-02-29,1,0,NA
LU,Luxembourg,2020,9,2020-02-29,1,0,NA
LV,Latvia,2020,9,2020-02-29,0,0,0
MT,Malta,2020,9,2020-02-29,0,0,NA
NL,Netherlands,2020,9,2020-02-29,6,0,39
NO,Norway,2020,9,2020-02-29,15,0,0
PL,Poland,2020,9,2020-02-29,0,0,NA
PT,Portugal,2020,9,2020-02-29,0,0,NA
RO,Romania,2020,9,2020-02-29,3,0,NA
SE,Sweden,2020,9,2020-02-29,13,0,NA
SI,Slovenia,2020,9,2020-02-29,0,0,NA
SK,Slovakia,2020,9,2020-02-29,0,0,NA
AT,Austria,2020,10,2020-03-07,70,0,NA
BE,Belgium,2020,10,2020-03-07,168,0,NA
BG,Bulgaria,2020,10,2020-03-07,0,0,NA
CH,Switzerland,2020,10,2020-03-07,250,1,15
CY,Cyprus,2020,10,2020-03-07,0,0,NA
CZ,Czechia,2020,10,2020-03-07,19,0,0
DE,Germany,2020,10,2020-03-07,720,0,NA
DK,Denmark,2020,10,2020-03-07,20,0,7
EE,Estonia,2020,10,2020-03-07,9,0,0
ES,Spain,2020,10,2020-03-07,455,10,NA
FI,Finland,2020,10,2020-03-07,12,0,NA
FR,France,2020,10,2020-03-07,838,14,NA
GB,United Kingdom,2020,10,2020-03-07,367,2,NA
GR,Greece,2020,10,2020-03-07,42,0,NA
HR,Croatia,2020,10,2020-03-07,6,0,NA
HU,Hungary,2020,10,2020-03-07,4,0,NA
IE,Ireland,2020,10,2020-03-07,17,0,NA
IS,Iceland,2020,10,2020-03-07,49,0,NA
IT,Italy,2020,10,2020-03-07,4755,204,7188
LI,Liechtenstein,2020,10,2020-03-07,1,0,NA
LT,Lithuania,2020,10,2020-03-07,0,0,NA
LU,Luxembourg,2020,10,2020-03-07,1,0,NA
LV,Latvia,2020,10,2020-03-07,1,0,3
MT,Malta,2020,10,2020-03-07,3,0,0
NL,Netherlands,2020,10,2020-03-07,182,1,74
NO,Norway,2020,10,2020-03-07,132,0,1
PL,Poland,2020,10,2020-03-07,5,0,26
PT,Portugal,2020,10,2020-03-07,20,0,77
RO,Romania,2020,10,2020-03-07,6,0,NA
SE,Sweden,2020,10,2020-03-07,165,0,NA
SI,Slovenia,2020,10,2020-03-07,7,0,NA
SK,Slovakia,2020,10,2020-03-07,1,0,NA
AT,Austria,2020,11,2020-03-14,576,1,NA
BE,Belgium,2020,11,2020-03-14,520,4,NA
BG,Bulgaria,2020,11,2020-03-14,41,2,NA
CH,Switzerland,2020,11,2020-03-14,1091,13,77
CY,Cyprus,2020,11,2020-03-14,14,0,NA
CZ,Czechia,2020,11,2020-03-14,170,0,8
DE,Germany,2020,11,2020-03-14,3786,9,NA
DK,Denmark,2020,11,2020-03-14,804,1,105
EE,Estonia,2020,11,2020-03-14,105,0,3
ES,Spain,2020,11,2020-03-14,5891,185,NA
FI,Finland,2020,11,2020-03-14,210,0,NA
FR,France,2020,11,2020-03-14,3531,75,NA
GB,United Kingdom,2020,11,2020-03-14,2202,27,NA
GR,Greece,2020,11,2020-03-14,182,3,NA
HR,Croatia,2020,11,2020-03-14,26,0,NA
HU,Hungary,2020,11,2020-03-14,26,0,NA
IE,Ireland,2020,11,2020-03-14,111,2,NA
IS,Iceland,2020,11,2020-03-14,106,0,NA
IT,Italy,2020,11,2020-03-14,15274,1208,13124
LI,Liechtenstein,2020,11,2020-03-14,6,0,NA
LT,Lithuania,2020,11,2020-03-14,5,0,NA
LU,Luxembourg,2020,11,2020-03-14,49,1,NA
LV,Latvia,2020,11,2020-03-14,25,0,6
MT,Malta,2020,11,2020-03-14,15,0,6
NL,Netherlands,2020,11,2020-03-14,771,11,309
NO,Norway,2020,11,2020-03-14,943,3,43
PL,Poland,2020,11,2020-03-14,98,3,113
PT,Portugal,2020,11,2020-03-14,149,0,163
RO,Romania,2020,11,2020-03-14,114,0,NA
SE,Sweden,2020,11,2020-03-14,815,5,NA
SI,Slovenia,2020,11,2020-03-14,174,1,NA
SK,Slovakia,2020,11,2020-03-14,43,0,NA
